Date,Open,High,Low,Close,Volume
22-Aug-17,926.96,941.96,926.17,940.40,1775099
21-Aug-17,925.77,928.25,918.60,920.87,1301243
18-Aug-17,926.98,931.02,923.45,926.18,1337404
17-Aug-17,942.95,943.81,927.64,927.66,1695694
16-Aug-17,941.25,949.90,940.04,944.27,1345261
15-Aug-17,941.03,943.07,936.64,938.08,1106484
14-Aug-17,939.07,941.04,934.48,938.93,1150612
11-Aug-17,923.71,933.36,921.22,930.09,1616708
10-Aug-17,935.00,936.30,921.78,923.59,2707393
9-Aug-17,938.45,943.76,933.92,940.08,1400852
8-Aug-17,944.29,952.49,942.48,944.19,1505064
7-Aug-17,947.52,948.96,943.50,945.75,1445754
4-Aug-17,943.95,947.54,939.80,945.79,1254574
3-Aug-17,949.10,950.00,939.44,940.30,1123921
2-Aug-17,948.37,949.10,932.52,947.64,2039418
1-Aug-17,947.81,954.49,944.96,946.56,1332456
31-Jul-17,960.00,961.19,941.72,945.50,2293389
28-Jul-17,947.99,961.79,945.31,958.33,1813794
27-Jul-17,969.18,969.52,937.06,952.51,3717900
26-Jul-17,972.78,973.95,960.23,965.31,2221625
25-Jul-17,970.70,976.73,963.80,969.03,5933602
24-Jul-17,994.10,1006.19,990.27,998.31,3984532
21-Jul-17,989.00,995.11,984.17,993.84,1463322
20-Jul-17,997.00,998.68,984.62,992.19,1418385
19-Jul-17,990.01,995.60,987.01,992.77,1412148
18-Jul-17,973.36,990.85,972.04,986.95,1413335
17-Jul-17,976.32,983.35,970.80,975.96,1660464
14-Jul-17,974.00,977.54,970.15,976.91,1079608
13-Jul-17,970.80,978.70,964.80,968.85,1524571
12-Jul-17,960.86,969.63,957.04,967.66,1602115
11-Jul-17,950.52,954.89,945.12,953.53,1461247
10-Jul-17,941.95,953.13,941.95,951.00,1451460
7-Jul-17,930.98,944.66,929.79,940.81,1663302
6-Jul-17,925.00,936.14,919.85,927.69,2014855
5-Jul-17,924.20,936.29,918.63,932.26,2094055
3-Jul-17,933.22,934.24,915.31,919.46,1694811
30-Jun-17,943.99,945.00,929.61,929.68,2287662
29-Jun-17,951.35,951.66,929.60,937.82,3206674
28-Jun-17,950.66,963.24,936.16,961.01,2745568
27-Jun-17,961.60,967.22,947.09,948.09,2443602
26-Jun-17,990.00,993.99,970.33,972.09,1517912
23-Jun-17,975.50,986.62,974.46,986.09,1563985
22-Jun-17,976.87,980.50,973.31,976.62,1009476
21-Jun-17,970.79,979.67,969.16,978.59,1161607
20-Jun-17,975.31,980.79,968.20,968.99,1297287
19-Jun-17,969.65,979.30,968.20,975.22,1468837
16-Jun-17,957.91,959.95,948.70,958.62,2559207
15-Jun-17,948.02,960.68,940.37,960.18,2427639
14-Jun-17,975.50,979.70,959.51,967.93,1505486
13-Jun-17,972.04,977.91,962.01,970.50,2005356
12-Jun-17,958.72,968.00,936.80,961.81,4202109
9-Jun-17,1005.49,1005.50,953.37,970.12,3647857
8-Jun-17,1004.23,1005.60,996.62,1004.28,1687925
7-Jun-17,998.82,1003.91,995.81,1001.59,1374097
6-Jun-17,1003.31,1008.61,994.80,996.68,1552114
5-Jun-17,997.89,1007.40,995.45,1003.88,1378916
2-Jun-17,988.59,996.48,987.07,996.12,1735469
1-Jun-17,990.96,993.14,981.29,988.29,1306384
31-May-17,996.21,999.60,981.68,987.09,1724095
30-May-17,992.50,997.62,991.36,996.17,1516685
26-May-17,992.00,996.39,987.36,993.27,1636416
25-May-17,979.00,995.78,977.82,991.86,1954149
24-May-17,975.26,978.12,971.63,977.61,1142488
23-May-17,969.96,974.51,964.50,970.55,1545421
22-May-17,957.00,964.82,956.56,964.07,1387392
19-May-17,952.82,959.56,952.00,954.65,1360299
18-May-17,943.20,954.18,941.27,950.50,1800465
17-May-17,959.70,960.99,940.06,942.17,2449058
16-May-17,963.55,965.90,960.35,964.61,1101544
15-May-17,955.29,962.70,952.82,959.22,1337697
12-May-17,957.85,957.98,952.06,955.14,1214851
11-May-17,951.29,957.99,948.61,955.89,1031093
10-May-17,956.22,956.71,949.84,954.84,1145969
9-May-17,961.33,962.20,954.40,956.71,1687942
8-May-17,947.45,960.99,947.40,958.69,1876690
5-May-17,956.72,958.44,948.10,950.28,1615548
4-May-17,950.29,959.14,947.37,954.72,1938260
3-May-17,936.05,950.20,935.21,948.45,1824759
2-May-17,933.27,942.98,931.00,937.09,1751292
1-May-17,924.15,935.82,920.80,932.82,2327782
28-Apr-17,929.00,935.90,923.22,924.52,3845857
27-Apr-17,890.00,893.38,887.18,891.44,2342303
26-Apr-17,891.39,892.99,885.15,889.14,1323297
25-Apr-17,882.26,892.25,879.28,888.84,2038032
24-Apr-17,868.44,879.96,866.11,878.93,1696483
21-Apr-17,860.62,862.44,857.73,858.95,1172870
20-Apr-17,859.74,863.93,857.50,860.08,1188843
19-Apr-17,857.38,860.20,853.53,856.51,1080336
18-Apr-17,852.54,857.39,851.25,853.99,936201
17-Apr-17,841.38,855.64,841.03,855.13,1049125
13-Apr-17,841.04,843.73,837.85,840.18,1073650
12-Apr-17,838.46,843.72,837.59,841.46,1135775
11-Apr-17,841.70,844.63,834.60,839.88,974343
10-Apr-17,841.54,846.74,840.79,841.70,1046215
7-Apr-17,845.00,845.88,837.30,842.10,1111610
6-Apr-17,849.50,853.59,844.00,845.10,1533564
5-Apr-17,854.71,860.59,847.52,848.91,1855153
4-Apr-17,848.00,853.00,847.50,852.57,1348494
3-Apr-17,848.75,859.00,847.53,856.75,1969402
31-Mar-17,846.83,849.56,845.24,847.80,1440982
30-Mar-17,851.98,852.00,846.77,849.48,949398
29-Mar-17,842.75,851.58,841.38,849.87,1457347
28-Mar-17,839.69,845.40,832.26,840.63,1519202
27-Mar-17,828.09,841.38,824.30,838.51,1935211
24-Mar-17,842.00,844.00,829.10,835.14,2105682
23-Mar-17,841.39,841.69,833.00,839.65,3287669
22-Mar-17,849.48,855.35,847.00,849.80,1366749
21-Mar-17,870.06,873.47,847.69,850.14,2537978
20-Mar-17,869.48,870.34,864.66,867.91,1542199
17-Mar-17,873.68,874.42,868.37,872.37,1868252
16-Mar-17,870.53,872.71,867.52,870.00,1104452
15-Mar-17,867.94,869.88,861.30,868.39,1332885
14-Mar-17,863.75,867.58,860.13,865.91,1061692
13-Mar-17,860.83,867.13,860.82,864.58,1166605
10-Mar-17,862.70,864.23,857.61,861.40,1336585
9-Mar-17,853.69,860.71,852.67,857.84,1347697
8-Mar-17,853.12,856.93,851.25,853.64,1029834
7-Mar-17,847.26,853.33,845.52,851.15,1038696
6-Mar-17,846.86,848.94,841.17,847.27,1047872
3-Mar-17,848.94,850.82,844.70,849.08,1006612
2-Mar-17,856.31,856.49,848.72,849.85,1250938
1-Mar-17,851.38,858.00,849.02,856.75,1818671
28-Feb-17,847.35,848.83,841.44,844.93,1383119
27-Feb-17,844.95,850.67,843.01,849.67,1010333
24-Feb-17,847.65,848.36,842.96,847.81,1346189
23-Feb-17,851.08,852.62,842.50,851.00,1386681
22-Feb-17,848.00,853.79,846.71,851.36,1224889
21-Feb-17,847.99,852.20,846.55,849.27,1261062
17-Feb-17,841.31,846.94,839.78,846.55,1461210
